final_dept_e,Region_e,FOL_e,question_name,question_value,total_respondants,total_w_resp,shr_w_resp,sorter
Canada School of Public Service,National Capital Region,French,MAN_45BG_e,No,22,56.4029,1,19
Canada School of Public Service,National Capital Region,French,MAN_45BH_e,No,22,56.4029,1,19
Canada School of Public Service,National Capital Region,French,MAN_50H_e,Yes,38,93.0071,1,18
Canada School of Public Service,National Capital Region,French,MAN_50J_e,No,21,48.3717,1,19
Canada School of Public Service,National Capital Region,French,MAN_55C_e,None,29,71.2385,1,20
Canadian Environmental Assessment Agency,All regions,All official languages,MAN_10B_e,Yes,21,37.6121,1,18
Canadian Environmental Assessment Agency,All regions,All official languages,MAN_40BD_e,No,22,40.7506,1,19
Canadian Environmental Assessment Agency,All regions,All official languages,MAN_40BG_e,No,22,40.7506,1,19
Canadian Environmental Assessment Agency,All regions,All official languages,MAN_50F_e,Yes,24,45.1036,1,18
Canadian Environmental Assessment Agency,All regions,English,MAN_10B_e,Yes,13,22.3673,1,18
Canadian Environmental Assessment Agency,All regions,English,MAN_35A_e,No,13,23.3277,1,19
Canadian Environmental Assessment Agency,All regions,English,MAN_40BD_e,No,12,21.1512,1,19
Canadian Environmental Assessment Agency,All regions,English,MAN_40BG_e,No,12,21.1512,1,19
Canadian Environmental Assessment Agency,All regions,English,MAN_50F_e,Yes,13,23.3277,1,18
Canadian Environmental Assessment Agency,All regions,English,MAN_55B_e,None,12,21.717,1,20
Canadian Environmental Assessment Agency,All regions,French,MAN_40BD_e,No,10,19.5994,1,19
